Element,Description,Unit
PRCP,Precipitation,tenths of mm
SNOW,Snowfall,mm
SNWD,Snow depth,mm
TMAX,Maximum temperature,tenths of degrees C
TMIN,Minimum temperature,tenths of degrees C
ACMC,Average cloudiness midnight to midnight from 30-second ceilometer data,percent
ACMH,Average cloudiness midnight to midnight from manual observations,percent
ACSC,Average cloudiness sunrise to sunset from 30-second ceilometer data,percent
ACSH,Average cloudiness sunrise to sunset from manual observations,percent
ADPT,Average Dew Point Temperature for the day,tenths of degrees C
ASLP,Average Sea Level Pressure for the day,hPa * 10
ASTP,Average Station Level Pressure for the day,hPa * 10
AWBT,Average Wet Bulb Temperature for the day,tenths of degrees C
AWDR,Average daily wind direction,degrees
AWND,Average daily wind speed,tenths of meters per second
DAEV,Number of days included in the multiday evaporation total (MDEV),days
DAPR,Number of days included in the multiday precipiation total (MDPR),days
DASF,Number of days included in the multiday snowfall total (MDSF),days
DATN,Number of days included in the multiday minimum temperature (MDTN),days
DATX,Number of days included in the multiday maximum temperature (MDTX),days
DAWM,Number of days included in the multiday wind movement (MDWM),days
DWPR,Number of days with non-zero precipitation included in multiday precipitation total (MDPR),days
EVAP,Evaporation of water from evaporation pan,tenths of mm
FMTM,Time of fastest mile or fastest 1-minute wind,HHMM
FRGB,Base of frozen ground layer,cm
FRGT,Top of frozen ground layer,cm
FRTH,Thickness of frozen ground layer,cm
GAHT,Difference between river and gauge height,cm
MDEV,Multiday evaporation total (use with DAEV),tenths of mm
MDPR,Multiday precipitation total (use with DAPR and DWPR),tenths of mm
MDSF,Multiday snowfall total,mm
MDTN,Multiday minimum temperature (use with DATN),tenths of degrees C
MDTX,Multiday maximum temperature (use with DATX),tenths of degrees C
MDWM,Multiday wind movement,km
MNPN,Daily minimum temperature of water in an evaporation pan,tenths of degrees C
MXPN,Daily maximum temperature of water in an evaporation pan,tenths of degrees C
PGTM,Peak gust time,HHMM
PSUN,Daily percent of possible sunshine,percent
RHAV,Average relative humidity for the day,percent
RHMN,Minimum relative humidity for the day,percent
RHMX,Maximum relative humidity for the day,percent
SN01,Minimum soil temperature (unknown ground cover at 5 cm depth),tenths of degrees C
SN02,Minimum soil temperature (unknown ground cover at 10 cm depth),tenths of degrees C
SN03,Minimum soil temperature (unknown ground cover at 20 cm depth),tenths of degrees C
SN04,Minimum soil temperature (unknown ground cover at 50 cm depth),tenths of degrees C
SN05,Minimum soil temperature (unknown ground cover at 100 cm depth),tenths of degrees C
SN06,Minimum soil temperature (unknown ground cover at 150 cm depth),tenths of degrees C
SN07,Minimum soil temperature (unknown ground cover at 180 cm depth),tenths of degrees C
SN11,Minimum soil temperature (grass at 5 cm depth),tenths of degrees C
SN12,Minimum soil temperature (grass at 10 cm depth),tenths of degrees C
SN13,Minimum soil temperature (grass at 20 cm depth),tenths of degrees C
SN14,Minimum soil temperature (grass at 50 cm depth),tenths of degrees C
SN15,Minimum soil temperature (grass at 100 cm depth),tenths of degrees C
SN16,Minimum soil temperature (grass at 150 cm depth),tenths of degrees C
SN17,Minimum soil temperature (grass at 180 cm depth),tenths of degrees C
SN21,Minimum soil temperature (fallow at 5 cm depth),tenths of degrees C
SN22,Minimum soil temperature (fallow at 10 cm depth),tenths of degrees C
SN23,Minimum soil temperature (fallow at 20 cm depth),tenths of degrees C
SN24,Minimum soil temperature (fallow at 50 cm depth),tenths of degrees C
SN25,Minimum soil temperature (fallow at 100 cm depth),tenths of degrees C
SN26,Minimum soil temperature (fallow at 150 cm depth),tenths of degrees C
SN27,Minimum soil temperature (fallow at 180 cm depth),tenths of degrees C
SN31,Minimum soil temperature (bare ground at 5 cm depth),tenths of degrees C
SN32,Minimum soil temperature (bare ground at 10 cm depth),tenths of degrees C
SN33,Minimum soil temperature (bare ground at 20 cm depth),tenths of degrees C
SN34,Minimum soil temperature (bare ground at 50 cm depth),tenths of degrees C
SN35,Minimum soil temperature (bare ground at 100 cm depth),tenths of degrees C
SN36,Minimum soil temperature (bare ground at 150 cm depth),tenths of degrees C
SN37,Minimum soil temperature (bare ground at 180 cm depth),tenths of degrees C
SN41,Minimum soil temperature (brome grass at 5 cm depth),tenths of degrees C
SN42,Minimum soil temperature (brome grass at 10 cm depth),tenths of degrees C
SN43,Minimum soil temperature (brome grass at 20 cm depth),tenths of degrees C
SN44,Minimum soil temperature (brome grass at 50 cm depth),tenths of degrees C
SN45,Minimum soil temperature (brome grass at 100 cm depth),tenths of degrees C
SN46,Minimum soil temperature (brome grass at 150 cm depth),tenths of degrees C
SN47,Minimum soil temperature (brome grass at 180 cm depth),tenths of degrees C
SN51,Minimum soil temperature (sod at 5 cm depth),tenths of degrees C
SN52,Minimum soil temperature (sod at 10 cm depth),tenths of degrees C
SN53,Minimum soil temperature (sod at 20 cm depth),tenths of degrees C
SN54,Minimum soil temperature (sod at 50 cm depth),tenths of degrees C
SN55,Minimum soil temperature (sod at 100 cm depth),tenths of degrees C
SN56,Minimum soil temperature (sod at 150 cm depth),tenths of degrees C
SN57,Minimum soil temperature (sod at 180 cm depth),tenths of degrees C
SN61,Minimum soil temperature (straw mulch at 5 cm depth),tenths of degrees C
